City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,amga,60.8953,131.9608,227.61,100,100,0.47,RU,1704820785
84,ushuaia,-54.8,-68.3,280.94,70,75,11.83,AR,1704820635
85,leh,34.1667,77.5833,266.01,41,0,1.31,IN,1704820789
86,iqaluit,63.7506,-68.5145,247.42,68,75,8.23,CA,1704820793
87,hawaiian paradise park,19.5933,-154.9731,296.5,93,20,6.17,US,1704820794
88,hithadhoo,-0.6,73.0833,301.06,75,9,1.82,MV,1704820795
89,tsiombe,-25.3,45.4833,297.53,80,10,6.14,MG,1704820797
90,urangan,-25.3,152.9,297.7,94,48,1.79,AU,1704820798
91,tambura,5.6,27.4667,300.97,22,98,1.84,SS,1704820800
92,stanley,54.868,-1.6985,275.8,78,75,4.12,GB,1704820801
93,anadyr,64.75,177.4833,244.43,76,0,3.0,RU,1704820803
94,wanning,18.8003,110.3967,295.08,89,34,2.76,CN,1704820805
95,sosnovo-ozerskoye,52.5249,111.5418,253.87,99,100,0.25,RU,1704820807
96,aasiaat,68.7098,-52.8699,261.3,93,100,4.65,GL,1704820808
97,shalqar,47.8333,59.6,268.28,86,100,4.1,KZ,1704820810
98,mafra,-26.1114,-49.8053,307.21,30,47,2.01,BR,1704820811
99,puerto natales,-51.7236,-72.4875,281.4,57,75,8.75,CL,1704820812
100,kayangel,8.0823,134.7173,301.71,77,29,8.7,PW,1704820814
101,san patricio,28.017,-97.5169,289.07,24,0,8.56,US,1704820815
102,ceeldheer,3.8488,47.1806,298.39,72,6,10.03,SO,1704820817
103,acajutla,13.5928,-89.8275,302.23,53,27,2.41,SV,1704820819
104,ola,59.5833,151.2833,251.29,85,100,2.68,RU,1704820821
105,punta arenas,-53.15,-70.9167,283.21,50,75,12.86,CL,1704820823
106,korla,41.7597,86.1469,268.01,69,5,0.66,CN,1704820825
107,toulepleu guere,6.574,-8.4259,304.2,44,71,2.25,CI,1704820826
108,hamilton,39.1834,-84.5333,282.03,96,100,5.14,US,1704820646
109,puerto baquerizo moreno,-0.9,-89.6,300.7,78,75,6.17,EC,1704820829
110,santa cruz,-17.8,-63.1667,306.85,58,40,7.72,BO,1704820733
111,tatarsk,55.219,75.9828,248.38,96,18,3.26,RU,1704820832
112,tazacorte,28.629,-17.9293,294.9,83,20,4.12,ES,1704820834
113,selfoss,63.9331,-20.9971,279.84,76,99,10.38,IS,1704820836
114,ancud,-41.8697,-73.8203,287.41,69,35,3.16,CL,1704820555
115,aioun,16.6614,-9.6149,306.03,7,68,2.66,MR,1704820839
116,saint-francois,46.4154,3.9054,272.84,80,100,0.0,FR,1704820842
117,byron bay,-28.65,153.6167,296.32,92,87,3.63,AU,1704820843
118,saipan,15.1355,145.701,299.54,89,100,7.2,MP,1704820844
119,cartagena,10.3997,-75.5144,303.94,66,0,4.12,CO,1704820689
120,vadso,70.0744,29.7487,267.24,86,75,5.66,NO,1704820847
121,vernon,50.2581,-119.2691,272.49,88,79,2.06,CA,1704820849
122,bredasdorp,-34.5322,20.0403,293.34,75,100,6.33,ZA,1704820850
123,puerto colombia,10.9878,-74.9547,307.2,71,87,6.37,CO,1704820851
124,padang,-0.9492,100.3543,300.18,92,100,1.15,ID,1704820689
125,mana,5.6592,-53.7767,301.96,70,99,4.86,GF,1704820854
126,dannenberg,53.0967,11.09,269.34,91,9,1.42,DE,1704820856
127,badr hunayn,23.7829,38.7905,299.45,32,92,1.71,SA,1704820857
128,taltal,-25.4,-70.4833,295.45,67,9,3.37,CL,1704820859
129,isafjordur,66.0755,-23.124,283.17,71,100,5.14,IS,1704820860
130,alice springs,-23.7,133.8833,296.9,43,78,5.84,AU,1704820862
131,tiksi,71.6872,128.8694,240.37,98,100,6.16,RU,1704820863
132,west island,-12.1568,96.8225,300.14,89,40,5.14,CC,1704820865
133,port alfred,-33.5906,26.891,296.03,88,86,2.24,ZA,1704820866
134,bovalino,38.149,16.174,286.67,80,47,1.26,IT,1704820868
135,silver city,32.7701,-108.2803,273.92,36,0,4.63,US,1704820869
136,bethel,41.3712,-73.414,278.35,81,100,2.06,US,1704820611
137,ha tinh,18.3333,105.9,293.43,92,10,0.98,VN,1704820872
138,tolanaro,-25.0319,46.9987,298.19,78,40,7.2,MG,1704820873
139,as sulayyil,20.4607,45.5779,287.29,15,0,4.32,SA,1704820875
140,georgetown,5.4112,100.3354,300.11,85,20,2.57,MY,1704820724
141,pago pago,-14.2781,-170.7025,298.7,100,40,0.0,AS,1704820878
142,novyy urengoy,66.0833,76.6333,248.25,95,99,5.52,RU,1704820880
143,sungailiat,-1.85,106.1333,299.84,85,69,2.89,ID,1704820881
144,turinsk,58.0458,63.696,251.88,98,100,3.01,RU,1704820883
145,marsabit,2.3284,37.9899,296.85,32,3,3.92,KE,1704820885
146,penon blanco,24.7897,-104.0369,283.26,30,59,0.98,MX,1704820888
147,minab,27.1467,57.0801,292.63,40,8,0.44,IR,1704820889
148,grand rapids,42.9634,-85.6681,274.38,95,100,6.69,US,1704820775
149,san antonio de pale,-1.4014,5.6325,300.7,77,52,5.39,GQ,1704820892
150,rabak,13.1809,32.74,303.71,23,19,3.56,SD,1704820894
151,puerto ayora,-0.7393,-90.3518,302.13,89,61,3.58,EC,1704820895
152,cabo san lucas,22.8909,-109.9124,295.1,56,99,2.44,MX,1704820788
153,geraldton,-28.7667,114.6,294.38,83,100,7.2,AU,1704820900
154,savanna-la-mar,18.219,-78.1332,304.22,58,18,6.99,JM,1704820902
155,chonchi,-42.6128,-73.8092,288.71,62,68,1.85,CL,1704820904
156,muisne,0.6,-80.0333,298.97,88,98,5.26,EC,1704820905
157,greenville,35.6127,-77.3663,291.56,81,100,9.26,US,1704820907
158,pacific grove,36.6177,-121.9166,286.03,80,75,1.79,US,1704820672
159,kolonia town,6.964,158.206,301.15,74,75,4.12,FM,1704820910
160,severnoye,56.3491,78.3619,253.7,95,78,4.92,RU,1704820912
161,gond-pontouvre,45.6833,0.1667,273.86,74,100,2.06,FR,1704820913
162,usinsk,65.9939,57.5281,242.15,100,95,1.37,RU,1704820914
163,namdrik,5.5994,168.1028,300.88,70,95,9.0,MH,1704820916
164,polyarnyy,69.1989,33.4478,262.62,88,100,2.29,RU,1704820917
165,bayganin,48.6947,55.8742,267.96,96,100,1.37,KZ,1704820919
166,sao felix do xingu,-6.6447,-51.995,301.3,81,100,2.2,BR,1704820920
167,ribeira grande,38.5167,-28.7,291.37,88,75,12.07,PT,1704820922
